commentaires;notes
Great little (big) gem of a hotel in the middle of London!;9.0
Location;8.0
Exceptional;10
Good hotel, excellent staff helpful and friendly. Good location and value for mpney;8.0
Beast.;10
Superb;9.0
Fabulous stay;9.0
Loved it!;10
Excellent;9.0
Superb;9.0
Amazing hotel definitely worth the money;10
Great stay in fantastic hotel.;10
Great stay;9.0
Birthday weekend away with bae.....;9.0
Perfect stay in this stunning hotel. We were upgraded to a suite which was unexpected.;10
Excellent. I will recommend this hotel;10
Exceptional;10
Fantastic hotel!;10
Fabulous;8.8
"Excellent hotel ideally located for Covent Garden & ""the City""";8.0
Nice hotel in a good location.;9.0
Very quiet, lovely comfy beds;9.0
Fun weekend;8.0
Always great times spent at the Apex TC;10
Very good;8.0
Worth it;9.0
Fabulous hotel;10
Exceptional;9.6
Incredible stay;10
Perfect stay;10
HIGHLY RECOMMEND;10
Best stay at the Apex Temple Court Hotel;10
Fantastic location. Would recommend a stay.;10
Felt like a celebrity!;10
Amazing Stay;9.0
Perfect;10
Relaxing, comfortable and v enjoyable, good breakfast, helpful staff;9.0
Perfect Hotel!;10
Excellent room, lovely courtyard to chill out. More central than you think.;10
A Pleasant Stay;10
Gorgeous hotel, great staff, lovely experience.;10
Superb;9.0
Perfect for our vacation.;9.0
Fantastic.;10
Great location, service and food!;9.0
Beautiful hotel. But service could be improved.;8.0
Enjoyed it and would stay again;8.0
Fantastic, Worth It;10
Amazing place! One the best hotels in London;10
Lovely hotel;10
Can’t wait to return;10
Just an overnight stay while working in London.. KFC very close by so had to have it. bath was huge.;8.0
Exceptional;10
Lovely;10
Superb;9.0
Very good;8.0
Luxury stay for an unbelievable price, including breakfast.;9.0
Worth the stay if you are in central london. Great location :);9.0
"A wonderful stay; just too short!";9.0
wonderful;10
Most comfortable;9.0
Exceptional;10
Had a lovely stay and wish we could have stayed longer.;9.0
Thoroughly wonderful hotel in a great location for exploring London;10
Another excellent hotel.;9.0
Relaxed stay with COVID restrictions;8.0
Exceptional;10
Not the best start but in the end it was very nice;8.0
A very pleasant stay;10
It was a romantic getaway for me and my husband;9.0
Very good;8.0
Had the most amazing time here, can’t wait to return;10
My go to hotel whenever I’m in London;10
Great staff, great property;9.0
Great Hotel;10
A wonderful, relaxing three-night solo stay.;8.0
Very good;8.0
Very good;8.0
Wow wow wow;10
Very good;8.0
Very good;8.0
Exceptional;10
Relaxing and enjoyable;9.0
Stunning;10
Really great stay;9.0
Exceptional;10
Exceptional;10
Very good;8.0
Great location, good hotel.;9.0
Very good;8.0
Exceptional;10
All in all a good stay - clean, good value for money, central location!;8.0
Good;8.0
Amazing gem in London and great location.;10
Really good but suite was not great;8.0
Superb;9.0
It was very enjoyable;10
Excellent hotel, great location;9.0
Very nice hotel and excellent staff.;9.0
Exceptional;10
Amazing rooms, amazing bed and such lovely staff thank you;10
Very good;8.0
Very good;8.0
Pleasant stay in a good hotel in a good location;8.0
Great to be back after COVID-19;8.0
Exceptional;10
perfect stay and great value;10
Exceptional;10
Very good;8.0
Relaxing;8.0
Exceptional;10
Clean comfortable stay in heart of Central London;9.0
Exceptional;10
Really nice hotel and a great location for your stay in London;9.0
Superb;9.0
Breakfast wasn’t buffet due COVID-19, was served at the table, but we couldn’t have all the options and were small porti;8.0
Very good;8.0
I wanted to explore London again after lockdown and this gave me the opportunity;8.0
Great hotel!;10
Perfecto;10
Exceptional;10
Fab rooms , fair location;9.0
Modern hotel - great location;8.0
Super hotel near St Paul’s and close to Covent Garden;10
Exceptional;10
One of the best stays I've had in London;10
Exceptional;10
Very enjoyable & accommodating;9.0
Excellent;10
Exceptional;10
Perfect little get away felt like we was abroad it was amazing;10
Great location and amazing hotel;10
Superb;9.0
Excellent all round could not fault anything. Excellent value for money;10
Exceptional;10
Really nice would recommend and would stay again;8.0
Exceptional;10
Amazing 21st birthday stay;10
Excellent;10
No complaints from us. We were very pleased indeed.;10
Service at breakfast was very slow, but the food was delicious. Paid extra for a balcony room, but balcony was dirty and;8.0
Superb;9.0
Very good;8.0
Birthday trip;9.2
Great staff, location and extremely comfortable beds and rooms. Recommend you to try ????;9.0
Exceptional;9.6
Exceptional;9.6
Good value for money;9.0
Perfect for a weekend in London;10
Enjoyable stay in a well appointed hotel. Staff friendly and accommodating.;9.0
Superb little gem hidden away in a very accessible location.  Would definitely stay here again!!;8.0
Exceptional;9.6
Superb;9.0
Superb;9.0
short stay but very comfortable with freindly staff in the main;8.0
Quiet, ideal location and friendly.;9.6
Exceptional;10
Exactly what we expected;10
Very good;8.0
Very good;8.0
excellent hotel for a fair price, well located for The Strand/ Covent Garden;9.0
Exceptional;10
Lovely hotel with comfortable rooms and good service.;9.0
Would definitely recommend and stay here again in the future.;9.0
Fantastic hotel to explore London from;10
Perfect;9.0
Great hotel helpful and friendly staff great location;10
Exceptional;10
Very good;8.0
Apex Hotel Fleet Street;9.6
Good central location?;9.2
Good hotel nice location;8.0
Exceptional;10
Comfortable;8.0
Tucked away delight!;10
Very good stay at convenient location;8.0
Great stay;10
Great , relaxing couple of days;10
Nice and big room, A quiet oasis in the city. Loved the bathroom.;9.0
Superb;9.0
Family travel to London;8.0
Excellent Location for the area.;10
Great place for a short or long stay;10
Very good;8.0
Superb;9.0
nice hotel although breakfast needs imporvement;7.0
I had the best time ever, and the bed was very comfortable.;9.0
Very good;8.0
Montcalm go the extra mile and is a beautiful hotel. The cleaning could be slightly better.;8.0
Very good;8.0
Superb;9.0
lovely, beautiful;8.0
Good stay, good location and will return;9.0
Very good;8.0
i love and enjoyed my time eventhough it was one night.;9.0
Lovely hotel great staff, just need to do something about the noise if you stay in or near room 910;7.0
Very good;8.0
overall its a 8.5/10;7.0
everything you would need for a short london break;9.0
Very good;8.0
Amazing;9.0
it was so good. loved everything;9.0
Good stay with nice staff;8.0
Great stay for a weekend in London.;8.0
The hotel is great, good location and the staff were very friendly in particular at reception, the door staff and in the;8.0
Good;7.0
Good location and lovely staff in reception;8.0
Really quirky option in central London, but overall a positive experience;7.0
Decent but overpriced;7.0
Perfect base for exploring London;9.0
Loved it, perfect for a work trip and away from the hassle of marble arch;8.0
Good;7.0
Very good;8.0
Good stay;7.0
fair but could be better staffed in reception;7.0
lovely stay, super comfortable bed and very friendly staff :);9.0
very relaxing and enjoyable;8.0
Very good;8.0
brilliant stuff and amazing views;8.0
Beautiful hotel with some fine tuning;9.0
Stayed for an event I was organising locally at City Central, HAC. Very nice hotel in good location.;8.0
Good;7.0
Superb;9.0
Staff great. Breakfast confusing.;7.0
welcoming, great staff excellent facilities;9.0
great place for your London break;8.0
first class service;9.0
overall excellent, would stay here again.;8.0
had an amazing stay with friends as a surprise b’day stay. The staff were so accommodating and hospitable namely Claudia;9.0
Very good;8.0
great location and very friendly staff;9.0
A modern comfortable, aesthetic - highly recommended;8.0
Very good;8.0
peaceful;9.0
staff Were amazing room was great;9.0
Superb;9.0
Really lovely stay. Again, the hotel has some of the best staff we’ve ever met on a trip. Thank you!;8.0
i felt like royalty , everyone we encountered is a credit to the business;9.0
Nice but not 5 star (apart from helpful staff);7.0
Superb;9.0
overall very pleasant and relaxing;8.0
Not worth the money and nothing nearby to do.;8.0
Very good;8.0
somehwat disappointing for the price we paid;8.0
Superb;9.0
Please hotel for a nice London vacation;9.0
Very good;8.0
Very good;8.0
Beautiful holiday for short stay;8.0
Very good;8.0
Good hotel, but didn't amaze me.;8.0
Very good;8.0
Excellent property and location.;9.0
Overall very pleasant and enjoyable.;9.0
Excellent, the staff were attentive, the rooftop for breakfast was amazing. Great location too;9.0
Great weekend away :) :) :);8.0
Lovely hotel;9.0
Great location;9.0
Superb;9.0
luxurious treat;9.0
Overpriced nice hotel but unlikely to use again.;7.0
Very good;8.0
Superb;9.0
Excellent hotel! Great rooms for family of four;9.0
happy stay;7.0
Superb;9.0
great hotel in a great location;9.0
good value for money and close enough to all attractions and transport;8.0
Fun, special, tremendous!;8.0
very nice hotel near the Barbican.;8.0
Good;7.0
Amazing Stay, great service and lovely staff.;9.0
Amazing stay, great service and lovely staff.;9.0
Good;7.0
it was fun and the staff were kind;9.0
perfect;9.0
great location but on the expensive side;7.0
Superb;9.0
Superb;9.0
Good;8.0
Montcalm Royal London;9.0
Very clean and comfortable;9.0
Superb;9.0
lovely hotel, will always check comparable prices and return if favourable;9.0
Superb;9.0
the customer service was top class;9.0
Lovely comfortable stay in great location;9.0
the stay was lovely, everything about the hotel was excellent and I would recommend to anyone willing to spend a bit ext;9.0
lovejy;9.0
amazing;9.0
great location, rooms, staff, facilities. amazing bed. weird water policy! ??;9.0
excellent stay in a beautiful hotel with exceptional staff;9.0
a beautiful hotel with the most amazing staff!;9.0
Very good;8.0
Lovely hotel for what we needed.;8.0
pleasant.;7.0
Exceptional staff, location and facilities but not very child friendly.;8.0
comfortable and clean;9.0
Superb;9.0
A fantastic hotel made more fantastic by the very helpful and friendly staff;9.0
Very good;8.0
it was good but not the best;7.0
lovely hotel, friendly staff, very clean;8.0
Very good;8.0
It was mostly enjoyable;7.0
Superb;9.0
Very good;8.0
staff very good;8.0
Comfortable beds, perfect location and very friendly staff;8.0
Nice hotel, easy access from Liverpool Street.;8.0
super soft bed and amazing anniversary celebration;9.0
wonderful - will return;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
A v nice hotel and restaurant upstairs with the view;8.0
lovely hotel with nice underground spa to use (make sure you prebook this though)x;8.0
Good;7.0
Thanks for giving us a great stay!;9.0
cordial;8.0
Very good;8.0
nice and relaxing;9.0
I travel and stay a lot In London from r business and this is hands down the best hotel I have stayed in. fantastic loca;8.0
Great location, rooftop bar. Air conditioning in room, poor.;8.0
Very good;8.0
Superb;9.0
I hope the reception staff will live up to the level of an employee [AMAL];7.0
nice stay.;9.0
Superb;9.0
thank you for warm welcoming us and facilities are quite comfortable within lovely helpful staffs and particularly F&;8.0
Location was excellent, 1 stop away from the city centre and Aviary Rooftop Bar.;9.0
it was pleasant;8.0
Beautiful hotel with stunning rooftop bar. However, be aware you pay the odds and some of the staff are just down right;9.0
Overall we had a good and pleasant stay, mainly because of the friendly staff and beautiful aviary.;8.0
